Categoria: Tutte le categorie

Mese,inflazione: (Italia),prezzo farmaci: (Italia),visita privata: (Italia),costo ticket: (Italia),assicurazione sanitaria: (Italia)
2004-01,61,0,0,0,0
2004-02,64,0,0,0,0
2004-03,53,0,0,0,0
2004-04,49,0,0,0,0
2004-05,54,0,0,10,0
2004-06,32,0,0,0,10
2004-07,31,0,0,0,11
2004-08,29,0,0,0,10
2004-09,41,0,0,0,8
2004-10,42,0,0,0,0
2004-11,44,0,0,0,0
2004-12,44,0,0,0,0
2005-01,58,0,0,0,7
2005-02,50,0,0,0,10
2005-03,37,0,0,0,8
2005-04,35,0,0,0,8
2005-05,34,0,0,0,6
2005-06,33,0,0,0,10
2005-07,27,0,0,0,16
2005-08,21,0,0,0,14
2005-09,36,0,0,6,7
2005-10,33,0,0,0,5
2005-11,32,0,0,0,6
2005-12,30,4,0,0,7
2006-01,43,7,0,0,9
2006-02,37,0,0,5,6
2006-03,37,3,0,3,7
2006-04,26,0,0,0,7
2006-05,33,4,0,0,8
2006-06,35,3,0,4,9
2006-07,17,0,0,0,13
2006-08,25,0,0,0,9
2006-09,31,0,0,0,10
2006-10,32,3,0,3,6
2006-11,28,0,0,3,8
2006-12,25,0,0,3,6
2007-01,41,3,0,4,9
2007-02,33,2,0,5,9
2007-03,27,2,0,4,8
2007-04,25,0,0,5,9
2007-05,27,3,0,5,8
2007-06,26,0,0,2,8
2007-07,20,0,0,3,14
2007-08,18,3,0,0,8
2007-09,26,2,0,2,8
2007-10,23,2,0,3,8
2007-11,27,2,0,3,8
2007-12,31,2,0,0,7
2008-01,43,3,0,4,9
2008-02,39,0,0,3,7
2008-03,31,2,0,5,5
2008-04,34,2,0,3,7
2008-05,32,3,2,2,9
2008-06,37,3,0,2,8
2008-07,36,3,1,3,13
2008-08,28,0,0,0,10
2008-09,37,1,0,4,7
2008-10,37,2,0,4,7
2008-11,28,1,0,3,7
2008-12,28,2,2,2,5
2009-01,40,2,2,3,7
2009-02,31,3,1,4,7
2009-03,29,3,0,4,7
2009-04,23,2,1,3,7
2009-05,23,3,1,3,8
2009-06,26,3,1,3,9
2009-07,20,2,0,4,16
2009-08,18,2,0,4,10
2009-09,22,2,0,3,8
2009-10,20,2,1,4,6
2009-11,22,3,0,4,7
2009-12,21,2,0,2,6
2010-01,32,3,0,2,6
2010-02,23,2,1,3,6
2010-03,19,3,1,3,7
2010-04,21,3,1,3,8
2010-05,21,2,1,3,8
2010-06,19,3,1,2,8
2010-07,12,3,1,3,11
2010-08,15,3,0,2,8
2010-09,18,3,2,4,6
2010-10,19,3,1,3,6
2010-11,19,3,2,4,6
2010-12,19,3,1,2,6
2011-01,25,3,1,4,8
2011-02,22,3,2,4,8
2011-03,22,3,2,4,7
2011-04,19,5,1,3,6
2011-05,20,4,1,4,6
2011-06,20,3,2,3,7
2011-07,19,3,2,5,10
2011-08,18,3,2,4,9
2011-09,19,3,2,6,8
2011-10,19,3,2,4,6
2011-11,30,3,2,5,6
2011-12,26,4,1,4,6
2012-01,30,4,1,5,8
2012-02,23,4,1,5,7
2012-03,28,4,2,5,7
2012-04,18,3,1,5,7
2012-05,22,4,2,5,8
